Nome do Computador,Destino da Política,Subcategoria,GUID de Subcategoria,Configuração de Inclusão,Configuração de Exclusão

DESKTOP-VS678NC,Sistema,Extensão do sistema de segurança,{0CCE9211-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Integridade do sistema,{0CCE9212-69AE-11D9-BED3-505054503030},Êxito e Falha,

DESKTOP-VS678NC,Sistema,Driver IPsec,{0CCE9213-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Outros Eventos do Sistema,{0CCE9214-69AE-11D9-BED3-505054503030},Êxito e Falha,

DESKTOP-VS678NC,Sistema,Alteração no estado de segurança,{0CCE9210-69AE-11D9-BED3-505054503030},Êxito,

DESKTOP-VS678NC,Sistema,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Êxito e Falha,

DESKTOP-VS678NC,Sistema,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Êxito,

DESKTOP-VS678NC,Sistema,Bloqueio de conta,{0CCE9217-69AE-11D9-BED3-505054503030},Êxito,

DESKTOP-VS678NC,Sistema,Modo principal do IPsec,{0CCE9218-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Modo rápido do IPsec,{0CCE9219-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Modo estendido do IPsec,{0CCE921A-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Logon especial,{0CCE921B-69AE-11D9-BED3-505054503030},Êxito,

DESKTOP-VS678NC,Sistema,Outros eventos de logon/logoff,{0CCE921C-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Servidor de Política de Rede,{0CCE9243-69AE-11D9-BED3-505054503030},Êxito e Falha,

DESKTOP-VS678NC,Sistema,Declarações do Usuário/Dispositivo,{0CCE9247-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Associação a um Grupo,{0CCE9249-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Direitos de Acesso,{0CCE924B-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Sistema de arquivos,{0CCE921D-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Registro,{0CCE921E-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Objeto Kernel,{0CCE921F-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Serviços de certificação,{0CCE9221-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Aplicativo gerado,{0CCE9222-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Manipulação de Identificador,{0CCE9223-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Compartilhamento de arquivos,{0CCE9224-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Descarte de Pacote de Plataforma de Filtragem,{0CCE9225-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Conexão de Plataforma de Filtragem,{0CCE9226-69AE-11D9-BED3-505054503030},Sem Auditoria,

